"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\resetpassword\resetpassword.component.html", "HTML", 0, 0, 30, 2, 13, 45
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\resetpassword\resetpassword.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\resetpassword\resetpassword.component.ts", "TypeScript", 86, 0, 0, 1, 20, 107
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup-button\signup-button.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup-button\signup-button.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup-button\signup-button.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup-button\signup-button.component.ts", "TypeScript", 11, 0, 0, 0, 8, 19
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup\signup.component.css", "CSS", 0, 39, 0, 0, 14, 53
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup\signup.component.html", "HTML", 0, 0, 29, 4, 9, 42
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup\signup.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\sign-up\signup\signup.component.ts", "TypeScript", 96, 0, 0, 8, 34, 138
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-form\employee-form.component.css", "CSS", 0, 54, 0, 0, 17, 71
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-form\employee-form.component.html", "HTML", 0, 0, 58, 6, 7, 71
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-form\employee-form.component.spec.ts", "TypeScript", 25, 0, 0, 0, 4, 29
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-form\employee-form.component.ts", "TypeScript", 133, 0, 0, 9, 29, 171
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-info\employee-info.component.css", "CSS", 0, 10, 0, 0, 2, 12
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-info\employee-info.component.html", "HTML", 0, 0, 14, 0, 5, 19
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\employee-info\employee-info.component.spec.ts", "TypeScript", 24, 0, 0, 0, 5, 29
